"Project #","Request Status","Queue Date","Withdrawn Date","Done Date","Appl In Service Date","Transmission Owner","County","State","Study Cycle","Study Group","Study Phase","Service Type","POI Name","Summer MW","Winter MW","Fuel","Generating Facility","Post GIA Status","Negotiated In Service Date","Decision Point 1 ERIS MW","Decision Point 1 NRIS MW","Decision Point 2 ERIS MW","Decision Point 2 NRIS MW"
"J1000","Done","2018-03-12T04:00:00+00:00","","2021-04-02T04:00:00+00:00","2021-10-01T04:00:00+00:00","American Transmission Co. LLC","Grant County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","Nelson Dewey - Lancaster 138kV Line","50","50","Solar","Photovoltaic","In Service","2023-03-27T04:00:00+00:00","50","50","50","50"
"J1001","Withdrawn","2018-03-12T04:00:00+00:00","2021-03-09T05:00:00+00:00","","2020-09-01T04:00:00+00:00","NORTHERN STATES POWER COMPANY","Lincoln County","MN","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Buffalo Ridge 115kV Substation","40","40","Solar","Photovoltaic","Not Started","","40","40","0","0"
"J1002","Done","2018-03-12T04:00:00+00:00","","2021-05-05T04:00:00+00:00","2021-10-01T04:00:00+00:00","American Transmission Co. LLC","Waushara County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","Wautoma 138kV Switchyard","99","99","Solar","Photovoltaic","In Service","2023-01-26T05:00:00+00:00","99","99","99","99"
"J1003","Done","2018-03-12T04:00:00+00:00","","2021-05-05T04:00:00+00:00","2021-10-01T04:00:00+00:00","American Transmission Co. LLC","Dodge County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","North Beaver Dam 69 kV Substation","50","50","Solar","Photovoltaic","In Service","2023-06-06T04:00:00+00:00","50","50","50","50"
"J1004","Withdrawn","2018-03-12T04:00:00+00:00","2018-11-01T04:00:00+00:00","","2020-09-01T04:00:00+00:00","METC","Mecosta County,Montcalm County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Kenowa - Nelson Road 345kV Line Tap","800","800","Wind","Wind Turbine","Not Started","","0","0","0","0"
"J1005","Withdrawn","2018-03-12T04:00:00+00:00","2020-06-30T04:00:00+00:00","","2021-09-01T04:00:00+00:00","METC","Midland County,Saginaw County","MI","DPP-2018-APR","East (ITC)","GIA","Network Resource Interconnection Service (NRIS)","Murphy 345kV Substation","200","200","Solar","Photovoltaic","Not Started","","200","200","0","0"
"J1006","Withdrawn","2018-03-12T04:00:00+00:00","2020-03-25T04:00:00+00:00","","2020-09-01T04:00:00+00:00","NORTHERN STATES POWER COMPANY","Brookings County","SD","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Brookings - Yankee 115kV Line Tap","100","100","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1007","Done","2018-03-12T04:00:00+00:00","","2020-08-12T04:00:00+00:00","2021-09-01T04:00:00+00:00","ENTERGY ARKANSAS, LLC","Crittenden County","AR","DPP-2018-APR","South","GIA","Network Resource Interconnection Service (NRIS)","Marion - Marked Tree 161kV Line Tap","200","200","Solar","Photovoltaic","Under Construction","2023-06-01T04:00:00+00:00","200","200","180","180"
"J1008","Withdrawn","2018-03-12T04:00:00+00:00","2020-03-25T04:00:00+00:00","","2020-09-01T04:00:00+00:00","ITC MIDWEST","Faribault County","MN","DPP-2018-APR","West","GIA","Network Resource Interconnection Service (NRIS)","Blue Earth IPL - Blue Earth 69kV Line Tap","50","50","Solar","Photovoltaic","Not Started","","0","0","0","0"
"J1009","Withdrawn","2018-03-12T04:00:00+00:00","2020-05-19T04:00:00+00:00","","2020-09-01T04:00:00+00:00","American Transmission Co. LLC","Kenosha County,Racine County","WI","DPP-2018-APR","East (ATC)","GIA","Network Resource Interconnection Service (NRIS)","Pleasant Prairie - Racine 345kV Line Tap","400","400","Solar","Photovoltaic","Not Started","","400","400","0","0"
