SUB_1,SUB_1 Lat,SUB_1 Long,SUB_2,SUB_2 Lat,SUB_2 Long,Shape__Length
UNKNOWN128553,,,TAP139917,,,2250.169338
UNKNOWN109715,,,TAP142776,,,19187.28259
UNKNOWN109571,,,TAP144762,,,5619.797126
UNKNOWN125207,,,TAP147512,,,481.7800721
UNKNOWN115971,,,TAP142027,,,21.15212325
MAYS CHAPEL,,,MOUNT WASHINGTON,,,12310.75074
UNKNOWN128903,,,TAP139975,,,1624.753211
UNKNOWN117589,,,UNKNOWN122560,,,20874.66334
UNKNOWN131784,,,UNKNOWN131785,,,36972.8365
UNKNOWN123592,,,JENKINS,,,4614.968525
YORK COUNTY RESOURCE RECOVERY,,,UNKNOWN125012,,,3720.9799
UNKNOWN123791,,,TAP167308,,,10990.1712
NORRIE,,,GINGLES,,,96734.4512
TAP143334,,,ZELLWOOD,,,3481.807621
UNKNOWN108083,,,TAP142011,,,38109.42107
NJT MEADOWLANDS RAIL SUBSTAION,,,MARION,,,9617.637953
LOUIS DOC BONIN,,,ACADIANA MALL,,,10856.41327
TAP140581,,,SETAB,,,1703.356132
UNKNOWN130293,,,UNKNOWN130298,,,3520.430182
UNKNOWN113424,,,TAP142592,,,327.9867991
UNKNOWN112040,,,UNKNOWN112093,,,17159.56449
SCRIBA,,,FITZPATRICK,,,2446.554925
PACOLET DIESEL GENERATION FACILITY,,,TAP154972,,,19428.4486
UNKNOWN145004,,,TAP145006,,,132.6009492
TAP142720,,,UNKNOWN176257,,,4521.119284
TILLERY,,,BLEWETT,,,50604.94834
UNKNOWN112449,,,BOGALUSA,,,32961.23826
TAP137540,,,UNKNOWN137541,,,2382.225671
UNKNOWN123643,,,UNKNOWN123644,,,5906.454459
UNKNOWN118015,,,UNKNOWN118016,,,5545.518609
UNKNOWN119956,,,TAP138863,,,11038.19897
UNKNOWN123598,,,TAP141321,,,6247.911002
BEHRMAN,,,GRETNA,,,6377.617105
UNKNOWN109917,,,BLUE RIDGE,,,840.0647698
UNKNOWN110665,,,DEADEND167018,,,3673.865935
UNKNOWN112266,,,TAP148363,,,87.24229877
ROLLING HILLS,,,MADISON COUNTY,,,119336.9827
COASTAL CAROLINA CLEAN POWER,,,NOT AVAILABLE,,,67.16872459
PINES,,,CENTRAL ISLIP,,,7026.310295
TAP147736,,,SOCIETY HILL,,,2264.789697
UNKNOWN109379,,,TAP173615,,,8.463573927
